ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
12.3263;16 64 16 4096 64 2 0 0 0;0.773249;15.941;225.882;0.700674
25.2141;16 64 16 4096 64 32 0 0 0;0.774337;32.5623;371.59;0.591899
13.0387;16 64 16 4096 64 4 0 0 0;0.772719;16.8738;235.596;0.692838
14.5415;16 64 16 4096 64 8 0 0 0;0.773097;18.8094;255.024;0.677427
5.27373;16 64 16 4096 8 1 0 0 0;0.77114;6.83888;115.33;0.796356
5.51853;16 64 16 4096 8 2 0 0 0;0.768176;7.18394;120.187;0.79189
6.04835;16 64 16 4096 8 4 0 0 0;0.766737;7.88843;129.901;0.783034
7.17291;16 64 16 4096 8 8 0 0 0;0.766682;9.35579;149.328;0.765616
3.06132;16 8 16 4096 1 1 0 0 0;0.850535;3.59928;68.0981;0.87073
4.64668;16 8 16 4096 16 1 0 0 0;0.868348;5.35117;96.4093;0.84265
9.31713;16 8 16 4096 16 16 0 0 0;0.881276;10.5723;169.263;0.774485
4.93464;16 8 16 4096 16 2 0 0 0;0.870793;5.66683;101.266;0.837925
5.52261;16 8 16 4096 16 4 0 0 0;0.874984;6.31166;110.98;0.828553
6.72536;16 8 16 4096 16 8 0 0 0;0.87842;7.65619;130.408;0.810124
3.13702;16 8 16 4096 2 1 0 0 0;0.845229;3.71144;69.9855;0.868829
3.38025;16 8 16 4096 2 2 0 0 0;0.84441;4.00309;74.8424;0.863957
7.28284;16 8 16 4096 32 2 0 0 0;0.941971;7.73149;131.465;0.809133
19.2056;16 8 16 4096 32 32 0 0 0;0.940777;20.4146;277.172;0.68352
7.94655;16 8 16 4096 32 4 0 0 0;0.942231;8.43376;141.179;0.800083
9.31975;16 8 16 4096 32 8 0 0 0;0.941796;9.89573;160.606;0.782287
3.32383;16 8 16 4096 4 1 0 0 0;0.844097;3.93774;73.7603;0.86504
3.56082;16 8 16 4096 4 2 0 0 0;0.84125;4.23278;78.6172;0.860189
4.06676;16 8 16 4096 4 4 0 0 0;0.84093;4.83602;88.3311;0.850569
12.3499;16 8 16 4096 64 2 0 0 0;0.99485;12.4138;191.862;0.754482
26.8855;16 8 16 4096 64 32 0 0 0;0.988861;27.1884;337.57;0.637354
13.211;16 8 16 4096 64 4 0 0 0;0.997841;13.2396;201.576;0.746044
14.898;16 8 16 4096 64 8 0 0 0;0.996215;14.9546;221.004;0.72945
3.7188;16 8 16 4096 8 1 0 0 0;0.845521;4.39824;81.31;0.857512
3.96332;16 8 16 4096 8 2 0 0 0;0.843242;4.7001;86.1669;0.852703
4.48261;16 8 16 4096 8 4 0 0 0;0.843058;5.31709;95.8807;0.843166
5.58703;16 8 16 4096 8 8 0 0 0;0.8459;6.60484;115.308;0.824411
2.40711;2 16 16 4096 1 1 0 0 0;1.0052;2.39467;47.6198;0.902708
2.28851;2 16 16 4096 16 1 0 0 0;0.883675;2.58977;51.1587;0.899017
2.64264;2 16 16 4096 16 16 0 0 0;0.851843;3.10226;60.2654;0.889587
2.21425;2 16 16 4096 16 2 0 0 0;0.844017;2.62347;51.7658;0.898385
2.24111;2 16 16 4096 16 4 0 0 0;0.832797;2.69106;52.98;0.897123
2.37146;2 16 16 4096 16 8 0 0 0;0.838843;2.82706;55.4085;0.894604
2.23586;2 16 16 4096 2 1 0 0 0;0.928666;2.4076;47.8557;0.902462
2.26148;2 16 16 4096 2 2 0 0 0;0.92648;2.44094;48.4628;0.901828
2.42903;2 16 16 4096 32 2 0 0 0;0.856956;2.83449;55.5406;0.894467
3.42375;2 16 16 4096 32 32 0 0 0;0.880367;3.889;73.754;0.875802
2.47735;2 16 16 4096 32 4 0 0 0;0.853401;2.90292;56.7548;0.893211
2.60993;2 16 16 4096 32 8 0 0 0;0.858366;3.04058;59.1833;0.890703
2.18286;2 16 16 4096 4 1 0 0 0;0.897003;2.43351;48.3275;0.901969
2.15157;2 16 16 4096 4 2 0 0 0;0.872178;2.46689;48.9347;0.901335
2.21964;2 16 16 4096 4 4 0 0 0;0.875989;2.53387;50.1489;0.900069
3.03857;2 16 16 4096 64 2 0 0 0;0.930852;3.26429;63.0903;0.886682
4.06102;2 16 16 4096 64 32 0 0 0;0.934891;4.34384;81.3037;0.868179
3.09946;2 16 16 4096 64 4 0 0 0;0.929546;3.33438;64.3045;0.885437
3.23545;2 16 16 4096 64 8 0 0 0;0.930968;3.47536;66.733;0.882951
2.20147;2 16 16 4096 8 1 0 0 0;0.885751;2.48543;49.2712;0.900984
2.14566;2 16 16 4096 8 2 0 0 0;0.851816;2.51892;49.8784;0.900351
2.17954;2 16 16 4096 8 4 0 0 0;0.842787;2.5861;51.0926;0.899086
2.3135;2 16 16 4096 8 8 0 0 0;0.850156;2.72127;53.521;0.896561
2.42554;2 32 16 4096 1 1 0 0 0;0.984217;2.46444;48.8348;0.900326
2.2881;2 32 16 4096 16 1 0 0 0;0.860005;2.66056;52.3737;0.896645
2.57853;2 32 16 4096 16 16 0 0 0;0.811959;3.17569;61.4804;0.88724
2.20911;2 32 16 4096 16 2 0 0 0;0.819879;2.69443;52.9808;0.896014
2.22425;2 32 16 4096 16 4 0 0 0;0.805191;2.76238;54.195;0.894756
2.33582;2 32 16 4096 16 8 0 0 0;0.805709;2.89908;56.6235;0.892243
2.24581;2 32 16 4096 2 1 0 0 0;0.906502;2.47744;49.0707;0.90008
2.26965;2 32 16 4096 2 2 0 0 0;0.903901;2.51095;49.6778;0.899448
2.365;2 32 16 4096 32 2 0 0 0;0.813678;2.90655;56.7556;0.892107
3.21966;2 32 16 4096 32 32 0 0 0;0.811734;3.9664;74.969;0.873491
2.37578;2 32 16 4096 32 4 0 0 0;0.798493;2.97533;57.9698;0.890853
2.48096;2 32 16 4096 32 8 0 0 0;0.796791;3.11369;60.3983;0.888352
2.19095;2 32 16 4096 4 1 0 0 0;0.875163;2.50348;49.5425;0.899589
2.15607;2 32 16 4096 4 2 0 0 0;0.849835;2.53704;50.1497;0.898956
2.22117;2 32 16 4096 4 4 0 0 0;0.852865;2.60437;51.3639;0.897693
2.77224;2 32 16 4096 64 2 0 0 0;0.830373;3.33854;64.3053;0.884343
3.70012;2 32 16 4096 64 32 0 0 0;0.836472;4.42348;82.5187;0.865888
